Literacy,Life_Expectancy
0.28,45
0.99,77
0.7,75
0.67,39
0.97,77
0.99,73
0.99,82
0.98,80
0.99,67
0.87,78
0.48,70
1,71
0.99,80
0.35,60
0.47,67
0.87,68
0.97,79
0.81,58
0.89,73
0.98,74
0.22,54
0.9,65
0.59,59
0.74,63
0.68,54
0.99,81
0.77,71
0.49,50
0.26,48
0.96,78
0.92,75
0.9,75
0.57,64
0.49,57
0.98,76
0.99,77
0.67,55
0.99,79
0.68,61
0.91,76
0.71,73
0.87,62
0.59,63
1,73
0.43,56
1,79
0.99,81
0.63,52
0.4,64
0.92,74
1,77
0.99,80
0.58,61
0.96,80
0.3,58
0.42,49
0.92,67
0.94,82
0.99,75
0.61,67
0.9,71
0.77,70
0.74,71
0.99,80
0.97,81
0.98,82
0.99,82
0.9,80
1,69
0.85,59
0.93,77
0.99,70
0.73,62
1,73
0.87,75
0.85,52
0.58,57
0.83,78
1,75
1,80
0.91,84
0.96,75
0.69,64
0.63,52
0.89,74
0.46,53
0.51,61
0.84,74
0.86,76
0.99,71
0.98,68
0.52,76
0.48,52
0.85,52
0.49,66
0.99,80
0.99,81
0.29,53
0.68,48
0.99,69
1,80
0.81,74
0.5,66
0.57,66
0.94,76
0.93,72
0.93,72
1,76
0.93,79
0.89,76
0.84,55
0.97,74
0.99,66
0.7,58
0.79,74
0.39,60
0.96,74
0.35,56
0.93,82
1,76
1,77
0.38,50
0.86,49
0.98,79
0.98,81
0.91,76
0.61,55
0.82,49
0.99,81
0.99,81
0.8,75
0.96,78
1,66
0.69,53
0.93,74
0.59,68
0.61,63
0.74,75
0.87,73
0.99,69
0.67,53
0.99,69
0.78,77
0.99,80
0.99,78
0.98,76
0.99,73
0.93,74
0.94,72
0.5,64
0.81,52
0.91,50
